date,location,category,title,source_url
01/15/2026,"Mounds View, MN","Concerning Arrest/Detention, Enforcement Action at a Sensitive Location",ICE agents detain Mounds View couple en route to ER - Sahan Journal,https://sahanjournal.com/health/ice-detains-mounds-view-couple/
01/15/2026,"Minneapolis, MN","Concerning Use of Force, U.S. Citizen",Couple Says ICE Agents Gassed Them as They Drove With 6 Children - The New York Times,https://www.nytimes.com/2026/01/15/us/minneapolis-couple-ice-tear-gas-6-children.html
01/15/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention",‘The World Needs To See It’: The Moment A Photographer Saved A Camera From ICE - HuffPo,https://www.huffpost.com/entry/john-abernathy-photos-ice-minnesota_n_696c2c6ce4b043a364235a53
01/14/2026,"St. Paul, MN","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen","St. Paul woman, a U.S. citizen, recounts her two days in ICE detention – Twin Cities",https://www.twincities.com/2026/01/18/st-paul-woman-a-u-s-citizen-recounts-her-two-days-in-detention/
01/14/2026,"Robbinsdale, MN",Concerning Arrest/Detention,Northport Elementary parent reportedly arrested by ICE while waiting with child for the bus - KSTP.com 5 Eyewitness News,https://kstp.com/kstp-news/local-news/northport-elementary-parent-reportedly-arrested-by-ice-while-waiting-with-child-for-the-bus/
01/13/2026,"St. Paul, MN","Concerning Arrest/Detention, Concerning Use of Force",They ‘Had Done Everything Right.’ ICE Detained Them Anyway. - NYT,https://www.nytimes.com/2026/01/26/us/politics/ice-minnesota-refugees.html
01/13/2026,"St. Paul, MN",Concerning Arrest/Detention,They ‘Had Done Everything Right.’ ICE Detained Them Anyway. - NYT,https://www.nytimes.com/2026/01/26/us/politics/ice-minnesota-refugees.html
01/13/2026,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen",Army vet detained by ICE for 8 hours says he wasn't allowed to call an attorney - ABC News,https://abcnews.go.com/US/army-vet-detained-ice-8-hours-allowed-call/story?utm_sf_cserv_ref=28785486&id=129379081&cid=social_twitter_abcn&utm_sf_post_ref=658138659
01/13/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention",ICE Violently Arrests Woman Trying to Pass Them to Get to the Doctor - The New Republic,https://newrepublic.com/post/205252/ice-arrests-minneapolis-woman-car-doctor
01/12/2026,"Vancouver, WA","Concerning Arrest/Detention, Enforcement Action at a Sensitive Location",ICE detains man outside Vancouver courthouse during trial break - Fox12 Oregon,https://www.kptv.com/2026/01/17/ice-detains-man-outside-vancouver-courthouse-during-trial-break/
01/12/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",Anti-ICE protester dressed in giraffe costume is released from custody - Bring Me The News,https://bringmethenews.com/minnesota-news/anti-ice-protester-dressed-in-giraffe-costume-is-released-from-custody
01/12/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",ICE rams car in south Minneapolis while profiling Latino driver - Sahan Journal,https://sahanjournal.com/public-safety/ice-rams-latino-man-car-south-minneapolis-immigration/
01/12/2026,"Minneapolis, MN","Concerning Use of Force, U.S. Citizen",Video shows federal agent shoving Minneapolis City Council president - CBS News,https://www.cbsnews.com/minnesota/news/ice-federal-agent-shoves-minneapolis-city-council-president-elliot-payne/
01/12/2026,"Minneapolis, MN","U.S. Citizen, Concerning Use of Force, Concerning Arrest/Detention","Twin Cities teaching assistant, a US citizen, arrested by federal agents outside school - Bring Me The News",https://bringmethenews.com/minnesota-news/twin-cities-teacher-a-us-citizen-arrested-by-federal-agents-outside-school
01/12/2026,"Long Island, NY",Concerning Arrest/Detention,Mamdani 'outraged' after New York City Council employee detained by ICE - ABC News,https://abcnews.go.com/US/mamdani-outraged-after-new-york-city-council-employee/story?id=129149275
01/12/2026,"Columbia Heights, MN","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",ICE is approaching people in Minneapolis demanding proof of citizenship - NBC News,https://www.nbcnews.com/news/us-news/ice-approaching-people-minneapolis-demanding-proof-citizenship-rcna254247
01/12/2026,"Peoria, AZ","Concerning Arrest/Detention, U.S. Citizen",Navajo man opens up about being detained by ICE - ABC15 Arizona,https://www.abc15.com/news/local-news/navajo-man-opens-up-about-being-detained-by-ice
01/11/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention",Dramatic video captures immigration arrest in city on edge after ICE shooting - The Sydney Morning Herald,https://www.smh.com.au/world/north-america/dramatic-video-captures-immigration-arrest-in-city-on-edge-after-shooting-20260112-p5ntfl.html
01/11/2026,"Minneapolis, MN",Concerning Use of Force,"ICE agents smash car window, detain man in Minnesota - Newsweek",https://www.msn.com/en-us/news/us/ice-agents-smash-car-window-detain-man-in-minnesota/ar-AA1U4l4u
01/11/2026,"Morristown, NJ",Concerning Arrest/Detention,Morristown teen detained by ICE is released on judge's order - Morristown Green,https://morristowngreen.com/2026/01/15/morristown-teen-detained-by-ice-is-released-on-judges-order/
01/11/2026,"Downey, CA","Concerning Use of Force, Concerning Arrest/Detention","Landscapers wrestle with immigrations agents during attempted detention in Downey, video shows - ABC 7",https://www.msn.com/en-us/news/crime/landscapers-wrestle-with-immigrations-agents-during-attempted-detention-in-downey-video-shows/ar-AA1U3zEH
01/11/2026,"Morristown, NJ",Concerning Arrest/Detention,"6-year-old girl left alone after ICE grabs N.J. dad picking up dinner outside his apartment. 'Where's papi?' - nj,com",https://www.nj.com/morris/2026/01/6-year-old-left-alone-after-ice-snatches-dad-picking-up-dinner-outside-his-door-wheres-papi-calavia-robertson.html
01/11/2026,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force","Minneapolis duo details their ICE detention, including pressure to rat on protest organizers - AP News",https://apnews.com/article/immigration-protest-arrests-detention-ice-8993bfd5d54b870521ec5b44fc42cd71
01/10/2026,"Minneapolis, MN",Concerning Arrest/Detention,Minnesota family worried as ICE detains man with rare disease - KSTP.com 5 Eyewitness News,https://kstp.com/kstp-news/top-news/minnesota-family-worried-as-ice-detains-man-with-rare-disease/
01/10/2026,"Minneapolis, MN",Concerning Arrest/Detention,ICE arrests more Minnesota refugees with quick transfer to Texas - Sahan Journal,https://sahanjournal.com/immigration/minnesota-refugees-immigration-operation-parris/
01/09/2026,"Santa Ana, CA",Concerning Use of Force,Second man says Homeland Security blinded him at anti-ICE rally - Los Angeles Times,https://www.latimes.com/california/story/2026-01-16/second-man-says-homeland-security-blinded-him-at-anti-ice-rally
01/09/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention",U.S. Border Patrol agent knees man in the face in Minneapolis as other agents hold him down - Minnesota Reformer,https://minnesotareformer.com/2026/01/12/u-s-border-patrol-knees-man-in-face-in-minneapolis-as-other-agents-hold-him-down/
01/09/2026,"Santa Ana, CA",Concerning Use of Force,Video: Southern California ICE protest turns violent amid nationwide uproar - KTLA,https://ktla.com/news/local-news/video-southern-california-ice-protest-turns-violent-amid-nationwide-uproar/
01/09/2026,"Santa Ana, CA",Concerning Use of Force,"SoCal protester permanently blinded by DHS agent, family says - Los Angeles Times",https://www.latimes.com/california/story/2026-01-13/socal-protester-permanently-blinded-by-dhs-agent-family-says
01/08/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention",Fundraiser launched for local artist and DJ who were apprehended by ICE - Bring Me The News,https://bringmethenews.com/minnesota-news/fundraiser-launched-for-local-artist-and-dj-who-were-apprehended-by-ice
01/08/2026,"Robinsdale, MN","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",I felt like I was kidnapped': Ojibwe man recounts ICE detainment - ICT News,https://ictnews.org/news/i-felt-like-i-was-kidnapped-ojibwe-man-recounts-ice-detainment/
01/08/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen","Video: Border agents descend on Richfield Target store, arrest drive-up workers - Bring Me The News",https://www.msn.com/en-us/news/other/video-border-agents-descend-on-richfield-target-store-arrest-drive-up-workers/ar-AA1TQ6fi?ocid=BingNewsVerp
01/08/2026,"Hartford, CT",Concerning Use of Force,"Video: Federal officers drive through anti-ICE protests in Hartford, striking one person - WBUR",https://www.wbur.org/news/2026/01/12/connecticut-ice-car-hit-protest-investigation-renee-good
01/08/2026,"Minneapolis, MN","Concerning Arrest/Detention, U.S. Citizen",Five Native Americans detained by ICE during ongoing raids in Minneapolis - ICT News,https://ictnews.org/news/five-native-americans-detained-by-ice-during-ongoing-raids-in-minneapolis/
01/07/2026,"Minneapolis, MN","Concerning Use of Force, Enforcement Action at a Sensitive Location","ICE agents outside Roosevelt High School draws conflicting accounts from union, DHS - FOX 9 Minneapolis-St. Paul",https://www.msn.com/en-us/news/news/ice-agents-outside-roosevelt-high-school-draws-conflicting-accounts-from-union-dhs/ar-AA1TPy4n
01/07/2026,"Minneapolis, MN",Concerning Use of Force,Minneapolis protester shot in face by ICE agent as chaos unfolds after death - The Mirror US,https://www.msn.com/en-us/news/news/breaking-minneapolis-protester-shot-in-face-by-ice-agent-as-chaos-unfolds-after-death/ar-AA1TLght
01/07/2026,"Minneapolis, MN",Concerning Use of Force,"Protesters, federal agents clash Thursday after ICE agent fatal shooting of civilian - KSTP",https://kstp.com/kstp-news/top-news/protests-continue-thursday-after-an-ice-agent-shot-and-killed-a-woman-in-minneapolis/
01/07/2026,"Minneapolis, MN","Concerning Use of Force, U.S. Citizen",Videos Contradict Trump Administration Account of ICE Shooting in Minneapolis - The New York Times,https://www.nytimes.com/video/us/100000010631041/minneapolis-ice-shooting-video.html
01/07/2026,"Minneapolis, MN",U.S. Citizen,"They could see my color"": Minneapolis Uber driver speaks out on why Border Patrol accosted him - The Intercept",https://theintercept.com/2026/01/11/uber-minneapolis-border-patrol-somali-american/
01/07/2026,"Minneapolis, MN","Concerning Use of Force, Enforcement Action at a Sensitive Location","ICE agents outside Roosevelt High School draws conflicting accounts from union, DHS - FOX 9 Minneapolis-St. Paul(opens in a new tab)",https://www.msn.com/en-us/news/news/ice-agents-outside-roosevelt-high-school-draws-conflicting-accounts-from-union-dhs/ar-AA1TPy4n?ocid=BingNewsSerp
01/07/2026,"Minneapolis, MN","Concerning Use of Force, U.S. Citizen",Videos Contradict Trump Administration Account of ICE Shooting in Minneapolis - The New York Times(opens in a new tab),https://www.nytimes.com/video/us/100000010631041/minneapolis-ice-shooting-video.html
01/07/2026,"Minneapolis, MN",Concerning Use of Force,"Protesters, federal agents clash Thursday after ICE agent fatal shooting of civilian - KSTP(opens in a new tab)",https://kstp.com/kstp-news/top-news/protests-continue-thursday-after-an-ice-agent-shot-and-killed-a-woman-in-minneapolis/
01/05/2026,"Minneapolis, MN",Concerning Arrest/Detention,Hopkins family demands answers after ICE arrests father - MPR News,https://www.mprnews.org/story/2026/01/09/hopkins-ice-arrest-of-father-disrupts-family-of-four
01/05/2026,"Austin, TX","U.S. Citizen, Concerning Arrest/Detention",ICE takes 5-year-old and mom into custody from Texas community - FOX 7,https://www.fox7austin.com/news/ice-takes-5-year-old-mom-custody-from-texas-community
01/04/2026,"Hopkins, MN",Enforcement Action at a Sensitive Location,"ICE surveilled parish during Mass, mayor says - EWTN News",https://www.ewtnnews.com/world/us/minnesota-ice-catholic-church?redirectedfrom=cna
01/01/2026,"Durango, CO","Concerning Use of Force, U.S. Citizen",Photos and video: ICE protests return to Durango - Durango Herald(opens in a new tab),https://www.durangoherald.com/articles/photos-ice-protests-return-to-durango/
12/31/2025,"Durango, CO",Concerning Use of Force,Resident arrested by ICE on New Year's Eve lived in Durango for 22 years - Durango Herald(opens in a new tab),https://www.durangoherald.com/articles/resident-arrested-by-ice-on-new-years-eve-lived-in-durango-for-22-years/
12/31/2025,"Los Angeles, CA",Concerning Use of Force,LAPD investigation continues into fatal New Year Eve's shooting by off-duty ICE agent - LA Times(opens in a new tab),https://www.msn.com/en-us/news/crime/lapd-investigation-continues-into-fatal-new-years-eve-shooting-by-off-duty-ice-agent/ar-AA1TtU8H?ocid=BingNewsVerp
12/29/2025,"Minnetonka, MN",Enforcement Action at a Sensitive Location,ICE announces names of people arrested outside courtrooms at Ridgedale Service Center - KARE-TV(opens in a new tab),https://www.kare11.com/article/news/local/ice-announces-names-of-people-arrested-outside-courtrooms-at-ridgedale-service-center/89-9440cf5d-da4f-490e-ab26-7404bea3b320
12/26/2025,"Westerville, OH",Concerning Arrest/Detention,Family of ICE detainee arrested near Columbus last week claims he has a valid visa - ABC6(opens in a new tab),https://abc6onyourside.com/news/local/family-of-ice-detainee-arrested-near-columbus-last-week-claims-he-has-a-valid-visa-central-ohio-news-arturo-brito-goncalvez-westerville-immigration-venezuela
12/24/2025,"Glen Burnie, MD",Concerning Use of Force,Anne Arundel County Police contradict DHS account of Christmas Eve ICE shooting - WMAR News(opens in a new tab),https://www.wmar2news.com/news/region/anne-arundel-county/anne-arundel-county-police-contradict-dhs-account-of-christmas-eve-ice-shooting
12/24/2025,"Phoenix, AZ",Concerning Arrest/Detention,ICE detains Phoenix mom with DACA status while shopping on Christmas Eve - Arizona's Family(opens in a new tab),https://www.azfamily.com/2025/12/31/ice-detains-phoenix-mom-with-daca-status-while-shopping-christmas-eve/
12/23/2025,"San Jose, CA",,"Several arrests at San Jose ICE check-in office, RRN says - KRON4 News",https://www.kron4.com/news/bay-area/several-arrests-at-san-jose-ice-check-in-office-rrn-says/
12/23/2025,"Orem, UT",Concerning Deportation,Update: ICE deported a man picked up in Utah. Now a judge says the Trump administration must bring him back - Salt Lake Tribune(opens in a new tab),https://www.msn.com/en-us/news/crime/ice-deported-a-man-picked-up-in-utah-now-a-judge-says-the-trump-administration-must-bring-him-back/ar-AA1Tvlky?ocid=BingNewsSerp
12/22/2025,"San Jose, CA",Concerning Arrest/Detention,"Several arrests at San Jose ICE check-in office, RRN says - KRON4 News",https://www.kron4.com/news/bay-area/several-arrests-at-san-jose-ice-check-in-office-rrn-says/
12/17/2025,"Salisbury, MD","Concerning Arrest/Detention, Concerning Use of Force, Enforcement Action at a Sensitive Location",ICE officers arrest Salisbury woman outside Pinehurst Elementary School - USA Today(opens in a new tab),https://www.usatoday.com/story/news/local/maryland/2025/12/18/ice-officers-arrest-salisbury-woman-pinehurst-elementary-school/87824244007/
12/15/2025,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen","ACLU sues ICE, alleging agency violates constitutional rights of observers and protesters - Minnesota Reformer(opens in a new tab)",https://minnesotareformer.com/2025/12/17/aclu-sues-ice-alleging-agency-violates-constitutional-rights-of-observers-and-protesters/
12/15/2025,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force",ICE agents clash with dozens of residents in streets of south Minneapolis - CBS News(opens in a new tab),https://www.cbsnews.com/minnesota/news/ice-agents-south-minneapolis-clash-protests/
12/14/2025,"Baltimore, MD","Concerning Arrest/Detention, U.S. Citizen",ICE Says U.S. Citizen’s Birth Certificate Is Fake After Arresting Her: Attorneys - HuffPost(opens in a new tab),https://www.huffpost.com/entry/us-citizen-arrested-by-ice_n_693c9355e4b018dc36f254c0?oom
12/10/2025,"Chantilly, VA",Concerning Arrest/Detention,"ICE Detains Man Applying for Green Card at Routine Check-In, Husband Says - Newsweek",https://www.newsweek.com/ice-detains-green-card-applying-11361268
12/09/2025,"Minneapolis, MN","Concerning Use of Force, U.S. Citizen","ACLU sues ICE, alleging agency violates constitutional rights of observers and protesters - Minnesota Reformer(opens in a new tab)",https://minnesotareformer.com/2025/12/17/aclu-sues-ice-alleging-agency-violates-constitutional-rights-of-observers-and-protesters/
12/09/2025,"Minneapolis, MN",Concerning Use of Force,ICE vehicle hits protester in Minneapolis - The Washington Post(opens in a new tab),https://www.washingtonpost.com/video/national/ice-vehicle-hits-protester-in-minneapolis/2025/12/12/2f39945a-3425-4250-98af-6d78088ddef9_video.html
12/09/2025,"Minneapolis, MN","Concerning Arrest/Detention, U.S. Citizen",Federal agents use chemical irritant on crowd in Somali neighborhood of Minneapolis amid Trump crackdown - MPR News(opens in a new tab),https://www.mprnews.org/story/2025/12/10/federal-agents-use-chemical-irritant-in-somali-neighborhood-of-minneapolis
12/09/2025,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen","ACLU sues ICE, alleging agency violates constitutional rights of observers and protesters - Minnesota Reformer(opens in a new tab)",https://minnesotareformer.com/2025/12/17/aclu-sues-ice-alleging-agency-violates-constitutional-rights-of-observers-and-protesters/
12/09/2025,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen","ICE agents wrongfully detained U.S. citizen in Minneapolis for looking Somali, city leaders say - CBS Minnesota(opens in a new tab)",https://www.cbsnews.com/minnesota/news/minneapolis-leaders-say-us-citizen-was-wrongfully-arrested-by-ice-agents/
12/08/2025,"Kenner, LA",Concerning Use of Force,"After ICE arrested his mom, 18-year-old U.S. citizen worries he could be next while caring for younger sister - CBS News(opens in a new tab)",https://www.cbsnews.com/news/after-ice-arrested-his-mom-18-year-old-citizen-now-caring-for-his-sister-worries-he-could-be-next/
12/08/2025,"Lake Worth Beach, FL","Concerning Arrest/Detention, U.S. Citizen",ICE targets workers at Lake Worth construction site; vigils planned - USA Today(opens in a new tab),https://www.usatoday.com/story/news/local/lakeworth/2025/12/10/ice-workers-south-florida-housing-construction-project/87684566007/
12/07/2025,"Fraser, MI",Concerning Arrest/Detention,Detroit teenagers were detained by ICE. They're now being held in Texas - MLIVE(opens in a new tab),https://www.mlive.com/news/2025/12/detroit-teenagers-were-detained-by-ice-theyre-now-being-held-in-texas.html
12/07/2025,"Richfield, MN","Concerning Use of Force, U.S. Citizen","ACLU sues ICE, alleging agency violates constitutional rights of observers and protesters - Minnesota Reformer(opens in a new tab)",https://minnesotareformer.com/2025/12/17/aclu-sues-ice-alleging-agency-violates-constitutional-rights-of-observers-and-protesters/
12/06/2025,"Burnsville, MN","Concerning Arrest/Detention, Concerning Use of Force","ICE raided a Minnesota home, arresting 4 and frightening U.S. citizens, family says - NBC News(opens in a new tab)",https://www.nbcnews.com/news/us-news/ring-camera-shows-ice-raid-minnesota-home-us-citizens-scared-4-arreste-rcna248189
12/06/2025,"Elgin, IL",Concerning Use of Force,ICE agents use tear gas in Elgin as hourslong standoff ends in man's arrest - Chicago Sun-Times(opens in a new tab),https://chicago.suntimes.com/immigration/2025/12/06/tear-gas-deployed-in-elgin-as-feds-detain-man-after-hours-long-standoff
12/06/2025,"Ypsilanti, MI",Concerning Arrest/Detention,ICE detains Michigan construction worker heading to job site. Lawmakers push for release - MLIVE(opens in a new tab),https://www.mlive.com/news/2025/12/ice-detains-michigan-construction-worker-heading-to-job-site-lawmakers-push-for-release.html
12/05/2025,"Austin, TX",Concerning Arrest/Detention,"Army reservist says his wife, a Venezuelan, has been held in detention for weeks - NBC News",https://www.nbcnews.com/news/us-news/army-reservist-wife-venezuelan-asylum-detained-weeks-rcna254462
12/05/2025,"Tucson, AZ",Concerning Use of Force,Rep. Adelita Grijalva says she was 'sprayed in the face' during ICE confrontation - NBC News(opens in a new tab),https://www.nbcnews.com/politics/congress/rep-adelita-grijalva-says-was-sprayed-face-ice-confrontation-rcna247677
12/04/2025,"Marrero, LA",U.S. Citizen,Video shows masked Border Patrol agent chasing woman back to her Louisiana home - NBC News(opens in a new tab),https://www.nbcnews.com/news/us-news/video-shows-masked-border-patrol-agent-chasing-woman-louisiana-marrero-rcna247756
12/04/2025,"San Diego, CA",Concerning Arrest/Detention,ICE detains wife at green card interview despite always having legal status - Newsweek(opens in a new tab),https://www.newsweek.com/wife-detained-green-card-interview-ice-san-diego-11176819
12/04/2025,"Vancouver, WA",Concerning Use of Force,ICE agents under scrutiny after man’s legs allegedly crushed in Vancouver arrest - OPB(opens in a new tab),https://www.opb.org/article/2025/12/06/vancouver-ice-alleged-crushing-legs/
12/03/2025,"Key Largo, FL","Concerning Arrest/Detention, U.S. Citizen",I'm a U.S. Citizen.' Agents pull woman from car in Keys. Feds said she wouldn't show ID - Miami Herald(opens in a new tab),https://www.miamiherald.com/news/local/community/florida-keys/article313356223.html
12/03/2025,"Rochester, NY",Concerning Arrest/Detention,ICE detains local businessman and La Casa founder in alleged sting - WXXI News(opens in a new tab),https://www.wxxinews.org/local-news/2025-12-05/ice-detains-local-businessman-and-la-casa-founder-in-alleged-sting
12/03/2025,"Minneapolis, MN",U.S. Citizen,"ACLU sues ICE, alleging agency violates constitutional rights of observers and protesters - Minnesota Reformer(opens in a new tab)",https://minnesotareformer.com/2025/12/17/aclu-sues-ice-alleging-agency-violates-constitutional-rights-of-observers-and-protesters/
12/03/2025,"Minneapolis, MN","Concerning Arrest/Detention, U.S. Citizen","US citizen arrested during immigration crackdown, family says - FOX 9(opens in a new tab)",https://www.msn.com/en-us/news/us/us-citizen-arrested-during-immigration-crackdown-family-says/ar-AA1ROfyq?ocid=BingNewsVerp
12/01/2025,"Long Beach, CA",Concerning Arrest/Detention,She was approved for a green card after three decades in the U.S. Then ICE arrested her - Los Angeles Times(opens in a new tab),https://www.latimes.com/california/story/2025-12-18/long-beach-restaurateur-detained-by-ice
11/28/2025,", IL",Concerning Arrest/Detention,Winooski second-grader arrested by federal law enforcement over holiday break - MyNBC 5(opens in a new tab),https://www.msn.com/en-us/news/us/vermont-second-grader-detained-by-ice-over-thanksgiving-holiday/ar-AA1RvG8b?ocid=BingNewsVerp
